Country/Region, Number of official languages (*),Official language(s),Regional language(s),Minority language(s),National language(s),Widely spoken
Slovakia,1,Slovak,,"Bulgarian
Czech
German
Hungarian
Polish
Romani
Rusyn
Serbian
Ukrainian",,
Slovenia,1,Slovene,,"Hungarian (Dobrovnik, Hodoš, Lendava)
Italian (Izola, Koper, Piran)
Croatian (Metlika, Brežice)",,
Solomon Islands,1,English,,,,
Somalia,2,"Somali
Arabic",,,,
Somaliland,3,"Arabic
English
Somali",,,,
South Africa,12,"Afrikaans
English
Southern Ndebele
Sotho
Northern Sotho
Swazi
Tsonga
Tswana
Venda
Xhosa
Zulu
SA Sign Language",,,,
South Ossetia,2,"Ossetian
Russian",Georgian,Georgian,,
South Sudan,1,English,,,"Bari
Dinka
Luo
Murle
Nuer
Zande
(60 other languages)",
Spain,1,Spanish,"Catalan (Balearic Islands, Catalonia, Valencian Community)
Galician (Galicia)
Occitan (Catalonia)
Basque (Basque Country, Navarra)","Astur-Leonese (Asturias, León, Zamora, Salamanca, Cáceres)
Aragonese (Aragon)
Fala (Province of Cáceres)
Portuguese
Galician (Asturias, León, Zamora)
Catalan (Aragon, Carche)",,
Sri Lanka,2,"Sinhala
Tamil",,,,English
Sudan,2,"Arabic
English",,,,
Suriname,1,Dutch,,,Sranan Tongo,
Sweden,1,Swedish,,"Finnish (Gällivare, Haparanda, Kiruna, Pajala, Övertorneå)
Meänkieli (Gällivare, Haparanda, Kiruna, Pajala, Övertorneå)
Sami (Arjeplog, Gällivare, Jokkmokk, Kiruna)
Yiddish
Romani",,English
Switzerland,4,"French (Bern, Fribourg, Geneva, Jura, Neuchâtel, Valais, Vaud)
German (Aargau, Appenzell Ausserrhoden, Appenzell Innerrhoden, Basel-Landschaft, Basel-Stadt, Bern, Fribourg, Glarus, Graubünden, Lucerne, Nidwalden, Obwalden, Saint Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Uri, Valais, Zug, Zürich)
Italian (Ticino, Graubünden)
Romansh (Graubünden)",,,,
Syria,1,Arabic,Kurdish,"Assyrian
Western Neo-Aramaic
Armenian",,
Taiwan,1,None (Mandarin Chinese has de facto status),,,"Taiwanese Mandarin
Taiwanese Hokkien
Taiwanese Hakka
Formosan languages
Taiwan Sign Language
Matsu dialect
Wuqiu dialect",
Tajikistan,1,Tajik,,,Tajik,Russian
Tanzania,2,"Swahili
English",,,Swahili,
Thailand,1,Thai,"Central Thai
Isan
Northern Thai
Southern Thai",Sixty-two 'domestic' languages are officially recognized,,Burmese
Togo,1,French,,,,
Tonga,2,"English
Tongan",,,,
Transnistria,3,"Moldovan
Russian
Ukrainian",,,,
Trinidad and Tobago,1,English,,,,Trinidadian Creole
Tunisia,1,Arabic,,,Arabic,
Turkey,1,Turkish,,Kurdish,Turkish,
Turkmenistan,1,Turkmen,,,Turkmen,Russian
Tuvalu,2,"Tuvaluan
English",,,"Tuvaluan
English"
Uganda,2,"English
Swahili",,,,
Ukraine,1,Ukrainian,"Russian (Autonomous Republic of Crimea)
Crimean Tatar (Autonomous Republic of Crimea)",,,
United Arab Emirates,1,Arabic,,,,English
United Kingdom and Crown dependencies etc.,1,None (English has de facto status),"Irish and Ulster-Scots (in Northern Ireland)
Scots and Scottish Gaelic (in Scotland)
Welsh (in Wales)
Pitcairnese (in Pitcairn Islands)
Guernésiais and French (in Guernsey)
Jèrriais and French (in Jersey)
Manx (in Isle of Man)",,,
United States,1,None (English has de facto status),(28 languages),indigenous languages of recognized federal tribes,English
Uruguay,2,Uruguayan Sign Language (Spanish has de facto status),,,,
Uzbekistan,1,Uzbek,,"Uzbek
Karakalpak and Uzbek in Karakalpakstan",,Russian
Vanuatu,3,"English
French
Bislama",,,,
Vatican City,2,"Italian
Latin",,,,Swiss German
Venezuela,2,Spanish,,Native languages are official for indigenous peoples,,
Vietnam,1,Vietnamese,,"Cantonese
Cham
Hmong
Khmer
Lao
Muong
Rade
Tay
Thai
Vietnamese sign languages",Vietnamese,
Yemen,1,Arabic,,"Mehri
Soqotri",,
Zambia,1,English,,,
Zimbabwe,16,"Chewa
Chibarwe
English
Kalanga
Khoisan
Nambya
Ndau
Ndebele
Shangani
Shona
Sign language
Sotho
Tonga
Tswana
Venda
Xhosa",,,,
